DATE,REVOLNS
1998-05-01,556.38999
1998-06-01,559.8894
1998-07-01,556.60874
1998-08-01,563.82238
1998-09-01,567.09707
1998-10-01,570.76774
1998-11-01,572.95529
1998-12-01,597.65955
1999-01-01,590.30122
1999-02-01,585.02938
1999-03-01,579.33639
1999-04-01,583.39452
1999-05-01,585.72384
1999-06-01,593.0095
1999-07-01,596.53431
1999-08-01,602.02002
1999-09-01,604.12923
1999-10-01,606.25068
1999-11-01,612.00102
1999-12-01,627.46727
2000-01-01,620.44057
2000-02-01,617.0856
2000-03-01,616.81249
2000-04-01,624.00102
2000-05-01,629.88529
2000-06-01,636.94885
2000-07-01,641.38504
2000-08-01,653.53122
2000-09-01,657.91148
2000-10-01,665.61772
2000-11-01,676.16489
2000-12-01,702.2467
2001-01-01,693.22352
2001-02-01,696.9196
2001-03-01,694.17314
2001-04-01,703.64953
2001-05-01,705.59769
2001-06-01,709.02918
2001-07-01,702.48328
2001-08-01,705.01381
2001-09-01,705.03291
2001-10-01,704.29305
2001-11-01,716.33857
2001-12-01,735.09341
2002-01-01,722.13368
2002-02-01,713.97266
2002-03-01,711.4680
2002-04-01,720.83407
2002-05-01,724.0850
2002-06-01,729.21569
2002-07-01,730.7225
2002-08-01,738.59402
2002-09-01,741.40172
2002-10-01,746.97571
2002-11-01,753.53765
2002-12-01,772.12279
2003-01-01,763.58729
2003-02-01,758.16784
2003-03-01,750.64375
2003-04-01,755.40977
2003-05-01,758.72646
2003-06-01,759.3347
2003-07-01,758.59582
2003-08-01,764.26556
2003-09-01,764.70305
2003-10-01,764.5388
2003-11-01,768.82085
2003-12-01,790.38772
2004-01-01,780.84845
2004-02-01,772.08333
2004-03-01,768.59325
2004-04-01,769.32273
2004-05-01,772.18843
2004-06-01,774.31198
2004-07-01,779.81115
2004-08-01,784.73508
2004-09-01,792.72403
2004-10-01,795.55811
2004-11-01,802.37359
2004-12-01,824.42098
2005-01-01,816.30083
2005-02-01,803.67947
2005-03-01,793.89907
2005-04-01,802.89595
2005-05-01,801.98262
2005-06-01,807.87012
2005-07-01,808.01684
2005-08-01,816.02316
2005-09-01,818.69894
2005-10-01,819.61782
2005-11-01,833.11095
2005-12-01,856.68265
2006-01-01,859.48887
2006-02-01,850.1440
2006-03-01,841.57808
2006-04-01,849.1588
2006-05-01,857.78358
2006-06-01,859.21588
2006-07-01,863.01494
2006-08-01,875.12568
2006-09-01,876.50367
2006-10-01,877.81736
2006-11-01,893.70098
2006-12-01,923.87678
2007-01-01,907.8551
2007-02-01,897.86345
2007-03-01,892.67332
2007-04-01,898.63341
2007-05-01,909.55712
2007-06-01,916.37403
2007-07-01,925.02187
2007-08-01,940.88936
2007-09-01,946.11502
2007-10-01,951.30332
2007-11-01,971.37034
2007-12-01,1001.6253
2008-01-01,988.32667
2008-02-01,979.27449
2008-03-01,972.52343
2008-04-01,978.04366
2008-05-01,979.17009
2008-06-01,983.25007
2008-07-01,986.45518
2008-08-01,990.3005
2008-09-01,983.02826
2008-10-01,985.12152
2008-11-01,987.21251
2008-12-01,1003.99704
2009-01-01,986.56769
2009-02-01,961.51987
2009-03-01,940.32317
2009-04-01,938.25493
2009-05-01,927.70526
2009-06-01,927.38276
2009-07-01,927.12622
2009-08-01,923.23042
2009-09-01,916.47333
2009-10-01,907.10181
2009-11-01,901.26451
2009-12-01,916.07663
2010-01-01,889.18166
2010-02-01,866.06027
2010-03-01,854.33509
2010-04-01,852.07439
2010-05-01,845.41159
2010-06-01,841.08924
2010-07-01,838.18561
2010-08-01,837.55461
2010-09-01,828.95458
2010-10-01,821.53511
2010-11-01,826.7332
2010-12-01,839.10267
2011-01-01,815.11316
2011-02-01,797.29023
2011-03-01,791.78168
2011-04-01,789.72673
2011-05-01,795.36716
